id,orig_correct,para_correct,idiom_correct,x,gold_answer
74922c,True,True,True,"Penrith and Blencathra are also Celtic names, established during this early period of settlement.",
146070e,False,False,False,Game-trackers will be out by this time in an attempt to locate the tiger's hunting ground for the evening safari.,
141703c,True,True,True,"Keep young skins safe by covering them with sunblock or a T-shirt, even when in the water.",
114980n,False,False,False,San'doro's blood ran over Stark's blade and into Stark's other cupped hand.,
103922e,True,True,True,We cannot accomplish this goal without the financial help of our alumni and friends.,
141225c,True,True,True,The whole idea of such a procedure is enough to make one sweat bullets.,
30085n,True,True,True,someone else noticed it and i said well i guess that's true and it was somewhat melodio us in other words it wasn't just you know it was really funny,
106334n,False,False,False,Another commercial aircraft in the vicinity then radioed in with reports over the radio of a commuter plane hitting the World Trade Center.,
112208n,True,True,True,The Data Warehousing Institute provides education and training in the data warehousing and business intelligence industry.,
56524c,True,False,False,"It is difficult for the nonspecialist reader (like me) to assess the validity of his arguments, which are based on his contention that the language (and its congeners) were carried along by the spread of nomad pastoralism.",
73156e,False,True,False,and once we came here it was like gosh i just miss that because it really is exciting to be around people of different,
32946e,True,True,True,"One of the most significant changes in retail inventory management in recent years has been the introduction of vendor-managed inventory?(VMI) programs, also known as Continuous Replenishment Programs (CRP) or Continuous Product Replenishment (CPR).",
73585n,False,False,False,Many Greeks in Asia Minor were forced to leave their homes and brought an influence of eastern cadences with them.,
79952c,True,True,True,"For example, Bruce Barton's The Man Nobody Knows , a best seller in 1925-26, portrays Jesus as the ultimate businessman.",
48413e,True,True,True,"Audit committees should not only oversee both internal and external auditors, but also be proactively involved in understanding issues related to the complexity of the business, and, when appropriate, challenge management through discussion of choices regarding complex accounting, financial reporting, and auditing issues.",
35809c,True,True,True,"Evaluating the intent of the six principles, we observed that they naturally fell into three distinct sets, which we refer to as critical success factors.",
83914e,False,True,True,"He tried the radios, first calling the aircraft directly, then the airline.",
95338e,True,True,True,"Trump, who said he would decide by March whether to run for president, would likely spend $100 million to $200 million of his own money on a campaign.",
67106e,True,True,True,Control activities occur at all levels and functions of the entity.,
94110e,True,False,True,"-- After my infant son has done one of those cute things that portend a definitely-not-ordinary childhood, my mother-in-law asks, What would Mr. [ sic ] Spock say?",
47121c,True,True,True,"The castle itself comprises an early 17th-century tower house, restored with Irish oak from the park which is held together without a single nail.",
131675n,True,False,True,"To check this, the central bank has tripled interest rates and used hard currency reserves (now reduced to $10 billion in ready cash) to buy back rubles.",
124167n,True,True,True,"Among the sights in Beziers are the ancient Eglise Saint Jacques and Eglise Sainte Madeleine, the 19th-century Halles (covered market), and the massive Cathedrale Saint-Nazaire, from which there is a good view over the river valley.",
27213e,True,True,True,Projects which enliven and enrich the student experience and draw some of our finest scholars and teachers to our campus--and to our city.,
116663c,True,True,True,"Bin Ladin flew on a leased aircraft from Khartoum to Jalalabad, with a refueling stopover in the United Arab Emirates.",
78946e,True,True,True,"Beside the fortress lies an 18th-century caravanserai, or inn, which has been converted into a hotel, and now hosts regular folklore evenings of Turkish dance and music.",
20087n,True,True,True,uh wasn't that Jane Eyre no he wrote Jane Eyre too,
83910n,False,False,False,"The controller tracking American 77 told us he noticed the aircraft turning to the southwest, and then saw the data disappear.",
72032c,True,True,True,The best place to view the spring azaleas is at the Azalea Festival in the last week of April at Tokyo's Nezu shrine.,
124149e,True,True,True,"Lancame has begun to market a line of cosmetics called Nios??me, which lexics (opposite of dyslexics) may read as Noisame, a singularly unimaginative name for a it ranks with product names like Anusol (regardless of its pronunciation in commercials).",
62815c,True,True,True,and they're illegal so i don't think it would do us any good to outlaw them all together,
43876c,True,True,True,") Juvenal wrote his satire on Rome in the early years of the second century, during the reign of the Emperor Trajan.",
126829e,False,False,True,"To a Western ear, the most predictable of language traits, perhaps, is the well-advertised Japanese use of r for our l . Indeed, in my travels about Honshu during a three-month visit, I did hear coinrocker, see you rater, Adurt Graphics (dirty books), blackwrrants (hit-and-miss rendering of black walnuts), Coffee Corombia (a chain of coffee shops), and Coconut Glove.",
19291n,True,True,True,"In fact, not only was the scramble prompted by the mistaken information about American 11, but NEADS never received notice that American 77 was hijacked.",
141041e,True,True,True,"In 392 the Emperor Theodosius proclaimed Christianity to be the official religion of the Roman Empire, and on his death in 395 the empire was split once more, between his two sons, and was never again to be reunited.",
45769e,True,False,True,"Therefore, many leading finance organizations have calculated and compared these percentages as a general indication of how well they supported the organization's business objectives.",
40867n,False,True,False,so well i think we've taken up at least five minutes,
6792c,True,True,True,"Back to the subject of celebrity interviews, British magazines have published a huge number with actress Kate Winslet, the star of Titanic , to promote a new British film she has made.",
56829e,False,True,True,'I don't suppose you could forget I ever said that?',
97773n,True,True,True,"The park is a graceful and elegant expanse with fine views of the mountains, much loved by Dubliners since it was first opened to the public in 1747.",
28026e,True,False,True,"Clearly, true quality time for children is quantity time and more!",
49440c,True,True,True,"Many are based on industry-recognized models such as the Constructive Cost Model (COCOMO), PRICE, Putnam, and Jensen.",
60128e,False,False,True,You can help make this valuable program available to many persons who are not currently benefiting from dental care.,
136158e,True,True,True,"I was on this earth you know, I've lived on this earth for some reason, I just don't know what it is yet.",
89936c,True,True,True,"The second radio transmission, 35 seconds later, indicated that the fight was continuing.",
107302n,False,True,True,but like they always say you know got a good profit sharing plan just no profit,
39967n,False,False,False,The final rule contains a Federalism Assessment under Executive Order,
132837c,True,True,True,i also use my PC to emulate a mainframe terminal for our IBM mainframe and also to emulate a deck terminal for our deck machine,
84171c,True,True,True,"To foster productivity (physical output per worker) and constrain supervisory costs, wages are paid on a piece-rate basis, providing incentives for rapid completion of the operation.",
84934e,False,False,False,"Each year Cathedral High School makes a general solicitation of parents, alumni and friends.",
131443e,True,True,True,"But while the effort failed, it shows what Bin Ladin and his associates hoped to do.",
69580c,True,True,True,"This can lead to a condition called imprinting, where the baby grows up thinking it is a people instead of a duck.",
45921e,False,False,False,"Moreover, significant increases in state financial support for public higher education are extremely unlikely during the remainder of this decade.",
10229e,True,True,True,"The governing statute provides that a committee consisting of the Comptroller General, the Speaker of the House and President Pro Tempore of the Senate, the Majority and Minority leaders, and the Chairmen and Ranking Minority Members of the Senate Governmental Affairs and House Government Reform Committees recommend an individual to the President for appointment.",
123221e,True,True,True,Your gift to Goodwill will help the many people who want to tell their own stories of success.,
51742e,True,True,True,The materials then are searched for counterevidence and subsidiary or branching paths are laid out.,
75708c,True,True,True,"Societies seldom see what is central in their own cultures, having much less trouble identifying it in the cultures of others.",
17692c,True,True,True,"Crosethe Rue de Rivoli to the Palais-Royal, built for Car?­di?­nal Richelieu as his Paris residence in 1639, and originally named Palais-Cardinal.",
52171c,False,False,False,"For such a governmentwide review, an entrance conference is generally held with applicable central agencies, such as the Office of Management and Budget (OMB) or the Office of Personnel Management.",
101253c,False,False,False,"In his effort to build nationalism across Turkey in the 1920s, Ataterk instituted a campaign to suppress Kurdish identity that continues today.",
77238e,True,True,True,i voted in the last national one yeah i'm not sure if i got the last local one,
124855n,True,True,True,"Chennai, known until 1996 as Madras, is easy-going, pleasant, and remarkably uncrowded.",
4015c,True,True,True,NORAD would receive tracking information for the hijacked aircraft either from joint use radar or from the relevant FAA air traffic control facility.,
127759e,True,False,True,"This means that after sewing a bundle of items of one color, an operator must not only change the needle thread but also put in a new bobbin for each new color of fabric.",
90037c,True,True,True,"If you help me, I said, to move my livestock to Chapeltique.",
141272e,True,True,True,"The total was approximately 2800, but that is probably only a vague he undoubtedly missed some; some have sprung up since his time (modern Hebrew, for instance); and some have vanished.",
13316c,True,True,True,"She has exchanged a hollow life for a heightened life, and has tried to comprehend all its turns, get its possibilities.",
26460n,False,False,False,"While it's probably true that democracies are unlikely to go to war unless they're attacked, sometimes they are the first to take the offensive.",
86650e,True,True,True,"While headquarters staffing is to be streamlined, the staffing levels at the ports are to be maintained or increased.",
117487n,False,False,True,"3) Dare you rise to the occasion, like Raskolnikov, and reject the petty rules that govern lesser men?",
34872n,True,True,False,We have taken a number of steps to empower and invest in our employees.,
8269c,True,True,True,With a little practice almost anyone can flip off to an interesting rock formation and watch the multi-coloured fish pass in review.,
66754n,True,True,True,Any point you failed to win by rigging the questions and categories can be cleaned up in the executive summary (the pollster's spin) and the press release and news conference (the client's spin on the pollster's spin).,
31899n,False,False,False,"True, there is an occasional mention in his column of a point raised by a correspondent, and the Letters section of the Magazine prints a comment from time to time, but an important feature of the books is their inclusion of far more writer-reader interaction than one might suspect from reading the column alone.",
61308n,False,False,False,"In some cases, members initially participated because of an existing trust relationship with individual leaders or sponsors, and it was a challenge to keep them returning until they saw value in participating and had built trust with other members.",
83767n,True,True,True,Monsters have had starring roles in SF from its early years.,
92562c,True,True,True,"Representatives also came from organizations such as the Palestine Liberation Organization, Hamas, and Hezbollah.",
116552c,True,True,True,"In general, six elements appear purpose, type of data collected, method of data collection, design, method of data analysis, and reporting.",
108067c,True,True,True,"So, fill out the enclosed form and we'll be delighted to hear from you.",
12343c,True,True,True,"A little past the small theater built for local dramatic performances, there's a fine view across the bay to Basse-Terre.",
90100c,True,True,True,"They touch an object, hold it up, or point to it while looking at another person to make sure he or she notices.",
19639n,True,True,True,"Although I'm certain it amused Scott Shuger (an amusing guy, to judge by the terrific Today's Papers) to join the ranks of those who have publicly disparaged Linda Tripp, the fact remains that nothing in his piece, , reflects at all on Tripp herself.",
34920e,True,True,True,i mean that's a real attractive option if you have the the technology for it all it was was you know i mean she just used a phone modem and she was like she was sitting in the office,
8377n,False,False,False,Tax dollars that would have been spent on public assistance are saved.,
56101n,True,True,True,"Conversely, an increase in government saving adds to the supply of resources available for investment and may put downward pressure on interest rates.",
82823n,True,True,True,Miyares spent the next four months in hospitals in Japan and the U.S. before being medically discharged from the Army with as service-connected disability for diabetes.,
65012n,False,False,False,She boldly marched into a bookstore and asked the salesclerk for a copy each of Hemingway's The Sun Come Up Again and Throw Away the Gun and Steinbeck's The Angry Grape . Is there a term for the errors that creep in while translating a passage back into the original tongue?,
113053n,False,False,False,that's right you can work yourself to death well i'm sorry to hear your color didn't come out so good over the weekend,
23057c,True,True,True,Enclosed is a specially prepared and entertaining crossword puzzle that challenges your knowledge about the law school.,
9147e,True,True,True,you know some of the really the really emotional ones have you followed the Dallas elections on zoning,
107015e,True,True,True,Your gift to Goodwill will help us do even more this year because your gift will be used to directly support our work.,
17932n,True,True,True,The first President Bush had authorized the use of U.S. military forces to ensure humanitarian relief in war-torn Somalia.,
40117n,True,True,True,"Well, as a teacher, do you see reading as something that is still important in families today?",
55561n,False,False,False,"Cultural festivals are one opportunity, but the better way is at a private wedding or feast day when the performances are set in their true context.",
39390c,True,True,True,yeah most mine generally stay in the windows they're they're,
86909c,True,True,True,"Regulation M is adopted under the Securities Act, 15 U.S.C.",
101918c,True,True,True,"Given the volatile nature of demand in many industries, an assumption of stability is suspect, meaning that forecasts based on historical sales data may be less accurate than the historical data suggest.",
12226c,True,True,True,"As the Tokugawa shoguns had feared, this opening of the floodgates of Western culture after such prolonged isolation had a traumatic effect on Japanese society.",
42527e,False,False,False,"Most of the book is an A-Z listing of words that are, for the most part, sexist, but, as the author sets forth in the User's Guide, Some words are included here because they are Is a belly dancer always a woman?",
138500n,False,False,False,"I think as soon as they get you, they'll come for me.",
32252e,True,True,True,"In the course of this chapter, I have had much to say about just how parents and teachers can capitalize on children's natural propensities.",
143142e,True,False,True,"United 93 was spotted by another aircraft, and, at 10:01, the Command Center advised FAA headquarters that one of the aircraft had seen United 93 waving his wings.",
138728c,True,True,False,"A roughly approximate atonal pronunciation is thus moo-gwoo . A family resemblance, to be sure, but far from me gook.",
141585e,False,False,True,Groundhog hole found the front tire of the motorcycle and I managed to fly over the handlebars.,
117974n,True,False,True,The baby has learned that only when he is distraught will the parent reliably come to his aid.,
58170e,True,True,True,A lot of people rely on their local government for protection.,
128421n,False,True,True,right and uh there's usually nobody running against you know the incumbents,
103053n,False,True,False,Engineers designed operations to take similar lengths of time to achieve line balancing.,
21702c,True,True,True,There are no means of destroying it; and he dare not keep it.,
73440c,True,True,True,well that's pretty typical though uh i don't uh i don't guess it's going to be any much different uh than than it has been in the past so i expect uh July and August we'll see our or uh share of hundred degree days,
133297e,False,True,False,"Don't mean the police, but the people that are right in it.",
31369c,True,True,True,"But for some recipients, there is a downside to the checks from Anthem Inc., issued to policyholders as part of the insurer's conversion to a publicly traded company.",
137957e,True,True,True,It suggests that many parents who feel overwhelmed by life's demands ought to be able to free up more time for their children'the first step toward high-quality child rearing.,
22246e,True,True,True,"You can find out more about our work and environmental developments on Beacon Hill at ELM' s website, www.EnvironmentalLeague.org.",
23264c,True,True,True,"Among the factors that are expected to have a substantial impact on employment in the textiles and apparel industries, perhaps the most influential will be the trade policy agreed to in the GATT.",
98489n,False,True,True,"But it's for us to get busy and do something.""",
16578e,True,True,True,"It's a relatively painless experience and not very cumbersome to deal with, not bad.",
140061c,True,True,True,All of this is possible because we are a statewide member network.,
94575n,True,True,True,"For example, the first number in Column (10) shows that in FY 1997, the volume of mail sent by households to other households represented 6.6 percent of total First-Class volume.",
121113n,True,True,True,"In particular, advanced practices in distribution and modular production interact with each other because they both reduce throughput time.",
76483e,False,True,True,yeah maybe the maybe they'll bring their good schools with them you know if the industry comes,
43759e,False,True,True,"' For English, this means a capacity to add the Latinate onto the vernacular, then Greek onto the Latinate, so that you can eat a hearty breakfast, and be cordial afterwards without suffering from cardiac arrest.",
96754c,True,True,True,"They wanted you, so they got you."" Dave considered it.",
8891n,True,True,False,"I regretfully acknowledge that it may even make practical sense to have a few hired guns like Norquist, Downey, and Weber around--people of value only for their connections to power, not for any knowledge or talent.",
138894c,True,True,True,You will soon receive information from the Alumni Association with the details.,
35422e,True,True,True,"Marina del Rey is another, where you can also charter a yacht.",
44834n,False,False,False,"In short, we all got tired of clever analyses of what might happen; and throughout economics there was a shift in focus away from theorizing, toward data collection and careful statistical analysis.",
121116n,True,True,False,"The time saved in production can be lost if the distribution method is slow, or if there are other impediments to the movement of products from the apparel-maker to the retailer.",
87747e,True,True,True,"In most methods, we plan for data collection, then we collect the information, then we analyze it, and then we write the report.",
38824e,False,False,False,Gore has been Clinton's lackey for more than six years.,
66050e,True,True,False,"It took me really a long time to sort what was going on in my mind out, she said.",
114092n,False,False,False,You will find attached this survey plus our directional statement (goals) for 1993 that is a direct result of the survey.,
70894e,True,True,True,"The next two chapters examine apparel operations, starting with a look at the use of information technologies and automation equipment in the preassembly stages of garment-making (Chapter 8) and then the sewing room (Chapter 9).",
91267c,False,True,False,"The work in question offers nothing regarding language, so its review here is ancillary to the main function of VERBATIM.",
104837c,True,True,True,Some management consultants describe dysfunctional interactions with one's fellow workers as value-subtracting behavior.,
45957n,True,True,True,"Bauerstein had been at Styles on the fatal night, and added: ""He said twice: 'That alters everything.' And I've been thinking.",
44332c,True,True,True,"Students acquire experience through faculty-supervised clinics, trial practice courses, moot court, client counseling, and pro bono programs",
63268e,True,True,True,"As a result, some of the fashion-oriented products that had been sourced offshore can then return to the United States.",
113668c,True,True,True,"If necessary to meeting the restrictions imposed in the preceding sentence, the Administrator shall reduce, pro rata, the basic Phase II allowance allocations for each unit subject to the requirements of section 414.",
99493n,False,False,False,"When Isaac Bashevis Singer was awarded the Nobel Prize for Literature in 1978, he remarked in his acceptance",
83409e,True,True,True,"Part 2), Confidentiality of Alcohol and Drug Abuse Patient Records.",
22136n,False,False,False,"Usually the records were taken from their jackets and loaded naked in stacks, where they picked up dust, scratched one another, and traded static electricity.",
31208n,False,False,False,"His ruthless campaigns resulted in more than 600,000 Irish dead or deported.",
48937e,True,True,True,"All the steps of data reduction and coding are described, along with the basis for transformations in these steps.",
43503c,True,True,True,The analyses comply with the informational requirements of the sections including the classes of small entities subject to the rule and alternatives considered to reduce the burden on the small entities.,
80446n,True,True,True,well um i uh exercise regularly i work at a university and i swim almost everyday,
96497e,True,True,True,Its institutions take many forms and survive under many different political regimes.,
45749n,True,True,True,"Perhaps all we can say of great acting is that it involves assimilation rather than accumulation, that the performer isn't so much a surrogate as a vessel.",
38888c,True,True,True,in one sense um i'm i'm an older person in my fifties so i feel that we've lost some things in the sense that women have to work today,
142512e,True,True,True,"(Note that there is a 95 percent chance that demand will be less than seventeen units next week'thus, if our buyer decides to stock seventeen units at the beginning of the week, the store should be able to offer a 95 percent order fulfillment rate on this SKU.)",
46257e,True,True,True,huh-uh i don't even want to go anywhere yeah that's about it,
120226e,True,True,True,But in 1799 doom was signaled for the cane monopoly with the appearance of the cheaper sugar beet.,
14835e,True,True,True,So we took a chance on it and started following the billboards.,
68430e,True,True,True,"I fact, I took you to Louisa May Alcott's home in Massachusetts, and we, ah, umm--.",
43475e,True,False,True,yeah i think i'll probably just have to go with one of those splint braces or something,
42983n,True,True,True,The town is also known for its sparkling wine and for the caves where about 70 per?­cent of France's cultivated mushrooms are grown.,
80220c,False,False,False,"The streets are crammed with vendors selling shrine offerings of sweets, curds, and coconut, as well as garlands and holy images.",
57163c,False,False,False,"While documenting the basis for judgments can be more difficult than documenting nonjudgmental information, overall the chain of evidence or audit trail techniques should not pose any greater difficulty for GAO evaluators than our documentation procedures for other evaluation methods.",
121111n,False,True,False,"In other words, the savings created in throughput reduction in assembly were lost on the shipping dock.",
89900e,True,True,True,"In the past eight years SEND has renovated over 70 homes for affordable resale to families, created more than 100 high quality apartments, assisted 20 businesses to expand or improve their facilities, created three new parks, and taught more than 200 youth work ethics and skills.",
45489n,False,False,False,"There are lengthy usage notes and synonym studies in W that do not appear in L at all or in greatly abbreviated form, sometimes mercifully so, for W occasionally succumbs to prolixity.",
58194c,False,False,False,"If you need to use the mail, it would be helpful if you sent your comments both in writing and on diskette (in Word or ASCII format).",
38441n,True,False,False,For the next two centuries Aelia Capitolina enjoyed an innocuous history.,
60679e,True,True,True,"Consider, for example, a 9-month-old infant who has never before seen a jack-in-the-box.",
10561n,False,True,False,"Lalley also is enthused about other bar efforts on behalf of the poor, most notably the Legal Assistance Center will operate out of the new courthouse.",
112993n,True,True,False,"As graduates of the class of 1990, we would like to leave behind something tangible, in appreciation for the support and encouragement we have received from other students in the School of Engineering and Technology.",
123703n,True,False,True,"Specifically, by defining mission improvement objectives, senior executives determine whether their organization needs a CIO who is a networking/marketing specialist, business change agent, operations specialist, policy/oversight manager, or any combination thereof.",
79245e,False,False,False,With dark eyes and eyelashes she would have been a beauty.,
109241n,True,True,True,"Sitting up at night is always rather jumpy, she confessed.",
23273n,True,True,True,i am surprised though that we do have so many that are in politics down here,
92591e,True,True,True,"Lower-level officials improvised-for example, the FAA's Boston Center bypassed the chain of command and directly contacted NEADS after the first hijacking.",
118601n,False,True,False,"""If you people only knew how fatally easy it is to poison some one by mistake, you wouldn't joke about it.",
1949e,True,True,True,Each prospective and current program is evaluated on the basis of its support of one or more aspects of women's needs.,
143996c,True,True,True,"One of the city's attractions is the shopping center around the Place Darcy and Rue de la Libert??, where you can hunt for such regional delicacies as the famous mustards; pain d'??pices (gingerbread); and cassis, the blackcurrant liqueur that turns an ordinary white wine into a deliciously refreshing kir.",
53335e,True,True,True,"As the lead pilot explained, I reverted to the Russian threat.",
57886c,False,False,False,Do you remember any specific ones that you could retell?,
108062c,False,True,True,The contrast between the landscape of the central highlands and the south coast could not be more marked.,
46059c,True,True,True,"The results of even the most well designed epidemiological studies are characterized by this type of uncertainty, though well-designed studies typically report narrower uncertainty bounds around the best estimate than do studies of lesser quality.",
132844e,True,True,True,I am asking for the support of the families of Herron students to help maintain this vital program.,
4035e,True,True,True,"Escaped or abandoned raccoons have been breeding in the wild for the past 20 years and have damaged corn crops, watermelon and melon farms, and rainbow trout hatcheries, the paper said.",
62441c,True,True,True,"As a result, their services may be more effective when conducted in the emergency department environment.",
132009e,True,True,True,"Anyway, thank you very much for trying to help us.",
19696n,True,True,True,"As Jon looked at him, Barnam puffed out his chest.",
39859e,True,True,True,"At a time when many dental schools are closing or cutting back on programs, Indiana University is investing in and enhancing its own future.",
82972n,True,True,False,"Other advantages the Postal Service could retain relate to such things as the payment of taxes, the need for a return on investment, the right of eminent domain, and immunity from parking tickets.",
19711e,True,True,True,The strangest role reversal is going on right now and concerns democracy itself.,
14810c,True,True,True,From the Index: Average number of public school students expelled each school day last year for gun 34.,
23957e,False,False,False,But he would indeed be feigning naivete to claim that generic man is now understood to include woman.,
93812e,True,True,False,I will call you in a few weeks to discuss your level of interest.,
136178e,True,True,True,"Regardless of where Quick Response has succeeded, however, our research indicates that very different time-based competitive demands have emerged in the industry, driven not by voluntary acceptance of policies but by the changing nature of market competition among retailers.",
117243n,False,False,False,"But in appealing to societies full of discontent, Bin Ladin remained credible as other leaders and symbols faded.",
63559c,False,False,False,Energy-related activities are the primary source of U.S. man-made greenhouse gas emissions.,
56759e,True,True,True,"Because of limited resources, local legal services programs are forced to turn away tens of thousands of people with critical legal problems.",
56527e,True,True,True,"Unfortunately, the presentation of his linguistic argument, where the author is clearly treading on more speculative ground than in those parts dealing with outright archaeology, where he is on more familiar territory, is disorganized and repetitious.",
99754n,False,False,False,"After the execution of Guru Tegh Bahadur, his son, Guru Gobind Singh, exalted the faithful to be ever ready for armed defense.",
84576c,True,True,True,"And, and years later we ended up living in the place where that took place and the, uh, and it was not something that was, uh, not a subject that people liked to talk about because many of the people in town knew the young man who was charged with that murder.",
98267c,True,True,True,"What a pleasure, for example, to discover that one who has been tagged out at home plate is the victim of an out-throw.",
93454c,True,True,True,"noisome Has nothing to do with sound or decibel level, but means simply unpleasant or disgusting.",
50330e,True,True,True,Coming to Goodwill was the first step toward my becoming totally independent.,
62176c,True,True,True,"However you choose to participate, I know you'll enjoy being a part of the Herron School of Art and Gallery.",
1076c,True,True,True,It is shameful that the Gage Canadian allows only plaid.,
54258c,True,True,True,yeah well losing is i mean i'm i'm originally from Saint Louis and Saint Louis Cardinals when they were there were uh a mostly a losing team but,
56495n,True,True,True,but i've lived up here all my life and i'm fifty eight years old so i i could,
63862n,True,True,True,"As a key part of its efforts, Defense created National Guard WMD Civil Support Teams to respond in the event of a WMD terrorist incident.",
69189e,True,True,True,"Although each has made valuable contributions to our understanding, a new, more powerful view of the meaning of young children's play has arrived on the scene, thanks to Vygotsky's sociocultural theory.",
81812e,False,True,False,The WP says that the Paula Jones trial judge has had an interesting prior run-in with Bill Clinton.,
85726e,False,False,True,Most federal agencies learned about the crash in New York from CNN.,
139870c,True,True,False,Benson's action picture in Lucia in London (Chapter 8): Georgie stepped on a beautiful pansy.,
137399n,True,True,True,oh really i was um i was TDY at Bent Waters,
2421c,False,True,True,"Touching the lives of youth on a daily basis, helping develop new skills, and preparing children to face the challenges of the next century are the Club's strengths.",
48970n,False,True,False,Here's the 439 feet + (59 feet x 0.6) = 474 feet.,
87159c,True,True,True,"In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.",
46278c,True,True,True,History and Political Context Few fundamentalist movements in the Islamic world gained lasting political power.,
56339c,True,True,True,"And now as a trustee for our local Chapter, I'm seeing first hand how our volunteer efforts are paying off for kids like Nicholas.",
99899e,True,True,True,"Given the predominant share of workers in assembly, organization of work in the sewing room has been the central focus of management attention.",
75335e,True,True,True,"After an adult describes and demonstrates some activity (for example, putting a teddy bear to bed), 1-year-olds who as yet have little language can easily reproduce the main steps in correct sequence with toys.",
97987n,True,True,True,"Despite its initial failings, Siegel's Flamingo survived him, as did mob infiltration of casinos.",
18142e,True,True,True,i wonder how they kept up with them though it seemed like the buffaloes were moving so fast i guess they graze though that wouldn't have been a problem,
139502e,True,True,True,"They had bookshelves, um, that my daddy built, that were built in bookshelves and he um, they were filled up with books, and one summer, I remember when I was a teenager, I just made it a mission to read as many of those books as I could, and I plowed, they were fiction most of them.",
71974e,True,True,True,"Critics praise Goodman's finely honed descriptive abilities and instinctive grasp of familial dynamics, the ways in which dreams and emotional habits are handed down ...",
38784e,True,True,True,"He asserted that the area was blessed with the highest concentration of exactly those natural features that, when combined, create the most pleasing and relaxing vistas possible landscapes composed of lakes representing the source of life in water, trees offering the promise of shelter, smooth areas providing easy walking and a curved shoreline or path in the distance to stimulate curiosity.",
34018n,False,False,False,"My father didn't read anything in terms of what you'd call a book, uh, but he was analytical of the Sport of Kings, and, so would peruse the paper to check on that . But, uh, my mother, uh, you know, didn't read a whole lot, but spent a lot of time reading to me, uh, my being an only child.",
60436c,True,True,True,and they're more independent and there's things to do then it's good for them to go to different i mean it he goes to a a mother's day out program now once a week both of my kids do,
61326e,True,True,True,"I had an additional reason for that belief in the fact that all the cups found contained sugar, which Mademoiselle Cynthia never took in her coffee.",
124638e,True,True,True,"The elements of this example, repeated across millions of individual tasks, encapsulates the difference between an advanced industrial economy with a high standard of living and a less developed country with a low standard of living.",
112882e,True,True,True,"The IU School of Dentistry is committed to remaining the recognized leader in scholarly research, teaching and service.",
53481n,False,False,False,"As explained in previous chapters, variation in weekly demand can be characterized by a standardized measure, the coefficient of variation, or Cv.",
41494n,True,False,True,"The setting--wherever it might be--always seems authentic, not as if it were a Hollywood back lot.",
